ID,Name,ISO639P3code,Level,Parent_ID
asma1256,Asmat-Kamoro,,family,cent2116
asma1257,Asmat,,family,asma1256
asoa1238,Asoa,asv,language,mang1424
assa1262,Eastern Kamrupa,,family,kamt1240
assa1263,Assamese,asm,language,assa1262
assa1264,Assam Tai,,family,shan1276
assa1269,Assangori,sjg,language,tama1368
assa1271,Assamese-based pidgin,,family,pidg1258
assi1247,Assiniboine,asb,language,dako1257
asss1237,As,asz,language,raja1255
assy1241,Assyrian Neo-Aramaic,aii,language,nort3241
astr1247,Eastern Bel,,family,bell1262
astu1244,Asturo-Leonese,,family,west2838
astu1245,Asturian-Leonese-Cantabrian,ast,language,astu1244
asue1235,Asue Awyu,psa,language,awyu1264
asum1237,Asumboa,aua,language,utup1238
asun1235,Asu (Nigeria),aum,language,nupo1239
asun1236,Asunción Mixtepec Zapotec,zoo,language,cent2146
asur1254,Asuri,asr,language,asur1255
asur1255,Asuric,,family,mund1336
asut1235,Asu (Tanzania),asa,language,pare1277
ataa1240,Ata,atm,language,unun9997
atak1252,Atakapa,aqp,language,
atam1239,Atampaya,amz,language,urad1238
atam1240,Ata Manobo,atd,language,cent2088
atan1241,West Sogeram,,family,grea1297
atat1238,Atatláhuca Mixtec,mib,language,west2824
atay1246,Atayalic,,family,aust1307
atay1247,Atayal,tay,language,atay1246
atem1241,Mand,ate,language,atan1241
atha1245,Athabaskan-Eyak-Tlingit,,family,
atha1246,Athabaskan-Eyak,,family,atha1245
atha1247,Athabaskan,,family,atha1246
athp1240,Athpariyic,,family,grea1285
athp1241,Athpariya,aph,language,athp1240
atii1237,Ati,atk,language,mala1545
atik1240,Atikamekw,atj,language,cree1271
atla1275,Atlas Berber,,family,kaby1244
atla1278,Atlantic-Congo,,family,
atla1280,Atlantic-Congo (Unattested),,family,unat1236
atla1282,Atlantic-Congo Speech Register,,family,spee1234
atoh1238,Atohwaim,aqm,language,kaya1327
aton1241,Atong (India),aot,language,koch1249
aton1242,Atong,ato,language,menk1239
ator1244,Atorada,aox,language,wapi1254
atra1235,Atrato,,family,embe1258
atsa1241,Atsam,cch,language,piti1242
atsa1242,Atsahuaca,atc,language,madr1238
atsu1245,Atsugewi,atw,language,pala1350
atta1243,Attapady Kurumba,pkr,language,mudu1245
atta1244,Atta,,family,iban1268
atti1239,Attié,ati,language,nyoa1234
atzi1235,Atzingo Matlatzinca,ocu,language,matl1258
auag1234,Aua-Gawil,,family,hage1248
auhe1237,'Auhelawa,kud,language,suau1243
aulu1238,Aulua,aul,language,cent2315
auol1234,Au-Olo-Elkei,,family,nucl1708
aura1243,Aurê y Aurá,aux,language,guaj1260
aush1241,Aushi,auh,language,bemb1256
aush1242,Aushiri,avs,language,zapa1252
aust1271,Auslan,asf,language,aust1310
aust1304,Austral,aut,language,tahi1244
aust1305,Austroasiatic,,family,
aust1307,Austronesian,,family,
aust1312,Austronesian (Unattested),,family,unat1236
auuu1241,Au,avt,language,auol1234
auwe1239,Auwe,smf,language,nucl1773
auya1234,Auyana,,family,gauw1235
auye1238,Auye,auu,language,auye1239
auye1239,Auye-Dao,,family,pani1259
auyo1240,Auyokawa,auo,language,shir1276
avac1239,Avá-Canoeiro,avv,language,guaj1258
avar1255,Avar-Andic-Tsezic,,family,dagh1238
avar1256,Avar,ava,language,avar1255
avat1243,Avatime-Nyangbo,,family,kato1245
avat1244,Avatime,avn,language,avat1243
avau1237,Avau,avb,language,east2763
aves1237,Avestan,ave,language,iran1269
avik1242,Avikam-Alladian,,family,nyoa1234
avik1243,Avikam,avi,language,avik1242
avok1242,Avokaya,avu,language,cent2043
awab1243,Awabakal,awk,language,hunt1235
awac1238,Lavia-Awalai-Damangnuo Awa,vwa,language,waaa1245
awac1239,Awa-Cuaiquer,kwi,language,unun9945
awad1243,Awadhi,awa,language,awad1245
awad1244,Awad Bing,bcu,language,astr1247
awad1245,Awadhic,,family,east2726
awak1249,Awak-Kamo,,family,tula1257
awak1250,Awak,awo,language,awak1249
awao1234,Awa-Oweina,,family,gauw1235
awap1236,Awa (Papua New Guinea),awb,language,awao1234
awar1248,Awara,awx,language,want1253
awar1249,Awar,aya,language,bosn1247
awbo1238,Awbono,awh,language,bayo1259
awee1242,Aweer,bob,language,karr1237
awer1241,Awera,awr,language,farw1236
awet1244,Awetí,awe,language,awet1245
awet1245,Aweti-Guarani,,family,mawe1252
awin1248,Awing,azo,language,ngem1254
awin1249,Elevala,,family,kamu1264
awiy1238,Awiyaana,auy,language,auya1234
awji1241,Awjilah,auj,language,berb1260
awng1244,Awngi,awn,language,cent2193
awtu1239,Awtuw,kmn,language,ramm1241
awun1245,Auwon,aww,language,yell1247
awut1241,Awutu,afu,language,sout2781
awuu1235,Southern Awu (Lope),yiu,language,nucl1739
awyi1241,Awyi,auw,language,taik1254
awyu1263,Awyu-Dumut,,family,grea1275
awyu1264,Awyu,,family,awyu1263
awyu1265,Awyu-Ok,,family,cent2116
axam1237,Axamb,ahb,language,port1295
axiy1235,Axi Yi,yix,language,sani1275
ayab1239,Yintyinka-Ayabadhu,ayd,language,umbi1242
ayac1238,Ayacuchan Quechua,,family,quec1389
ayac1239,Ayacucho Quechua,quy,language,ayac1238
ayau1235,Ayautla Mazatec,vmy,language,cent2301
ayer1244,Ayere-Ahan,,family,defo1239
